,year,GeoLocation
18,2001.0,Sudan
22,2002.0,France
30,2008.0,Sudan
49,2009.0,United States
70,1993.0,Thailand
82,2006.0,Mauritania
83,1994.0,Poland
86,2012.0,United States
95,2004.0,Morocco
96,2001.0,Tunisia
99,2002.0,Morocco
101,2008.0,Argentina
104,2004.0,United States
109,2002.0,India
115,1999.0,Burkina Faso
137,2003.0,Mauritania
138,2011.0,Mauritania
146,2001.0,Uzbekistan
148,2007.0,Australia
151,1990.0,United States
156,2008.0,Canada
160,2007.0,Colombia
162,1991.0,Brazil
169,2007.0,Peru
179,1998.0,China
194,2013.0,Russia
195,2007.0,Mali
211,1994.0,United States
227,1998.0,Turkmenistan
228,2008.0,Ecuador
234,2001.0,India
236,2001.0,India
237,1994.0,India
241,2007.0,Turkey
246,1999.0,Tunisia
250,1995.0,China
260,1999.0,Australia
276,1993.0,Mexico
277,1998.0,United States
300,1996.0,Italy
318,1995.0,Ukraine
324,2000.0,Burkina Faso
329,1990.0,Netherlands
332,1991.0,United Kingdom
338,2009.0,Canada
345,1996.0,China
377,2003.0,Japan
378,2003.0,Uganda
387,2010.0,China
405,1990.0,Morocco
415,2009.0,Slovenia
420,2006.0,India
425,1997.0,China
449,2004.0,India
458,2003.0,India
459,1999.0,Nigeria
460,2006.0,India
463,2008.0,Turkey
465,2003.0,India
482,2002.0,Nigeria
488,1998.0,Canada
491,1999.0,Japan
495,2010.0,Slovakia
506,1998.0,Turkmenistan
535,1999.0,Ireland
549,1994.0,India
550,2010.0,United States
572,1990.0,Zimbabwe
573,2007.0,India
574,2004.0,Niger
588,2009.0,Denmark
594,2002.0,Madagascar
604,1992.0,Uganda
620,2010.0,United States
622,1992.0,Japan
639,1998.0,United States
650,2000.0,Czechia
652,2006.0,Norway
656,1991.0,Niger
683,1995.0,Japan
687,2002.0,Austria
689,1994.0,Sudan
690,2003.0,United States
703,1991.0,United States
735,2004.0,United States
742,2003.0,Burkina Faso
744,2003.0,Morocco
745,1998.0,Portugal
763,2003.0,United States
778,1992.0,United States
785,1995.0,Niger
795,1996.0,India
801,2008.0,Romania
809,1998.0,United States
815,2007.0,Spain
825,1990.0,China
841,2007.0,United States
868,1999.0,India
878,2002.0,Italy
884,2008.0,Argentina
902,1993.0,Japan
921,1995.0,Mexico
937,2011.0,Poland
939,1993.0,China
956,1990.0,Russia
961,1994.0,Canada
965,2008.0,India
969,2012.0,United States
973,2000.0,Canada
974,1991.0,Japan
978,2008.0,Morocco
988,2011.0,Kenya
989,2002.0,Lesotho
996,2011.0,Morocco
1015,1996.0,Japan
1019,1996.0,United States
1045,2010.0,Brazil
1053,2004.0,Spain
1058,1997.0,India
1064,2006.0,Libya
1069,2009.0,United States
1077,1997.0,United States
1082,2000.0,Yemen
1085,1990.0,China
