Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994045,10520,7,,7,7118,75,0,,0
China,Western Pacific,99381255,6755,22,,22,122377,8,0,,0
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977765,51254,0,,0,7475,392,0,,0
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9528,39,0,,0,315,1,0,,0
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89316,533,1,,1,1972,12,0,,0
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,0,,0,1024,16,0,,0
C�te d'Ivoire,Africa,88455,335,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8642356,49647,263,2,263,22986,132,0,,0
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Azerbaijan,Europe,836492,8250,3,,3,10353,102,0,,0
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Suriname,Americas,82504,14064,0,,0,1406,240,0,,0
New Caledonia,Western Pacific,80203,28092,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7985,100,0,,0,125,2,0,,0
French Polynesia,Western Pacific,79451,28284,,,,650,231,,,
Liberia,Africa,7932,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
British Virgin Islands,Americas,7628,25227,,,,64,212,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Mexico,Americas,7622418,5912,7,,7,334802,260,0,,0
Eswatini,Africa,75356,6495,,,,1427,123,,,
Guyana,Americas,74491,9471,,,,1302,166,,,
Cook Islands,Western Pacific,7375,41989,,,,2,11,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Belize,Americas,71430,17964,0,,0,688,173,0,,0
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
Cyprus,Europe,709151,79859,280,32,280,1497,169,0,,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
